Gene Name	Accession-1	Left-End-Position	Right-End-Position	Regulation - transcription units of gene	Object ID	Transcription units - promoter of operon	Transcription units - binding sites	Transcription units - regulators of operon	Regulation - direct regulators of gene	Regulation - transcription factor regulators of gene
yoaC	b1810	1894133	1894432	yoaC	G6994	yoaCp1	DNA-binding transcriptional dual regulator CysB DNA-binding-site 145.5 bases upstream of yoaCp1	ppGpp // CysB-O-acetyl-L-serine DNA-binding transcriptional dual regulator	RNA polymerase sigma E factor // ppGpp // CysB-O-acetyl-L-serine DNA-binding transcriptional dual regulator	CysB-O-acetyl-L-serine DNA-binding transcriptional dual regulator
gabT	b2662	2792735	2794015	gabDTP // gabDTP // csiD-ygaF-gabDTP // gabDTP	EG10361	gabDp // gabDp2 // csiDp // gabDp1	Nac DNA-binding-site 44 bases upstream of gabDp //  // GlaR DNA-binding-site 32 bases upstream of csiDp // GlaR DNA-binding-site 13 bases upstream of csiDp // CRP-cAMP DNA-binding transcriptional dual regulator DNA-binding-site 68.5 bases upstream of csiDp // Lrp-leu DNA-binding-site regulating csiDp // H-NS DNA-binding-site regulating csiDp	ppGpp // DNA-binding transcriptional dual regulator Nac //  // CRP-cAMP DNA-binding transcriptional dual regulator // Lrp-Leucine DNA-binding transcriptional dual regulator // DNA-binding transcriptional dual regulator H-NS // DNA-binding transcriptional repressor GlaR	RNA polymerase, sigma 70 (sigma D) factor // RNA polymerase, sigma S (sigma 38) factor // DNA-binding transcriptional dual regulator Nac // ppGpp // CRP-cAMP DNA-binding transcriptional dual regulator // Lrp-Leucine DNA-binding transcriptional dual regulator // DNA-binding transcriptional dual regulator H-NS // DNA-binding transcriptional repressor GlaR	DNA-binding transcriptional repressor GlaR // CRP-cAMP DNA-binding transcriptional dual regulator // Lrp-Leucine DNA-binding transcriptional dual regulator // DNA-binding transcriptional dual regulator H-NS // DNA-binding transcriptional dual regulator Nac
sgbU	b3582	3749232	3750092	yiaKLMNO-lyx-sgbHUE // yiaKLMNO-lyx-sgbHUE	EG12286	yiaKp2 // yiaKp	 // PlaR DNA-binding-site 55 bases upstream of plaRp // IHF DNA-binding-site 49.5 bases upstream of yiaKp // CRP-cAMP DNA-binding transcriptional dual regulator DNA-binding-site 50.5 bases downstream of plaRp // CRP-cAMP DNA-binding transcriptional dual regulator DNA-binding-site 62.5 bases downstream of yiaKp	 // DNA-binding transcriptional dual regulator IHF // CRP-cAMP DNA-binding transcriptional dual regulator // DNA-binding transcriptional repressor PlaR	RNA polymerase, sigma 70 (sigma D) factor // RNA polymerase sigma E factor // DNA-binding transcriptional dual regulator IHF // DNA-binding transcriptional repressor PlaR // CRP-cAMP DNA-binding transcriptional dual regulator	DNA-binding transcriptional repressor PlaR // DNA-binding transcriptional dual regulator IHF // CRP-cAMP DNA-binding transcriptional dual regulator
mqsA	b3021	3167851	3168246	mqsA // mqsA // mqsRA // mqsRA	G7571	mqsAp2 // mqsAp1 // mqsRp2 // mqsRp1	 // MqsA DNA-binding-site 42 bases downstream of mqsRp1 // MqsA DNA-binding-site 74 bases downstream of mqsRp1	 // antitoxin of the MqsRA toxin-antitoxin system / DNA-binding transcriptional repressor MqsA	RNA polymerase, sigma 70 (sigma D) factor // antitoxin of the MqsRA toxin-antitoxin system / DNA-binding transcriptional repressor MqsA	antitoxin of the MqsRA toxin-antitoxin system / DNA-binding transcriptional repressor MqsA
hisR	b3797	3982509	3982585	argX-hisR-leuT-proM	EG30042	argXp	Fis DNA-binding-site 75 bases upstream of argXp	RNA polymerase-binding transcription factor DksA // DNA-binding transcriptional dual regulator Fis // DksA-ppGpp // ppGpp	RNA polymerase, sigma 70 (sigma D) factor // RNA polymerase-binding transcription factor DksA // DNA-binding transcriptional dual regulator Fis // DksA-ppGpp // ppGpp	DNA-binding transcriptional dual regulator Fis
ynaJ	b1332	1397365	1397622	ynaJ	G6668		ArcA-Pasp54 DNA-binding-site regulating ynaJ	Phosphorylated DNA-binding transcriptional dual regulator ArcA	Phosphorylated DNA-binding transcriptional dual regulator ArcA	Phosphorylated DNA-binding transcriptional dual regulator ArcA
gabD	b2661	2791273	2792721	gabDTP // gabDTP // csiD-ygaF-gabDTP // gabDTP	EG11329	gabDp // gabDp2 // csiDp // gabDp1	Nac DNA-binding-site 44 bases upstream of gabDp //  // GlaR DNA-binding-site 32 bases upstream of csiDp // GlaR DNA-binding-site 13 bases upstream of csiDp // CRP-cAMP DNA-binding transcriptional dual regulator DNA-binding-site 68.5 bases upstream of csiDp // Lrp-leu DNA-binding-site regulating csiDp // H-NS DNA-binding-site regulating csiDp	ppGpp // DNA-binding transcriptional dual regulator Nac //  // CRP-cAMP DNA-binding transcriptional dual regulator // Lrp-Leucine DNA-binding transcriptional dual regulator // DNA-binding transcriptional dual regulator H-NS // DNA-binding transcriptional repressor GlaR	RNA polymerase, sigma 70 (sigma D) factor // RNA polymerase, sigma S (sigma 38) factor // DNA-binding transcriptional dual regulator Nac // ppGpp // CRP-cAMP DNA-binding transcriptional dual regulator // Lrp-Leucine DNA-binding transcriptional dual regulator // DNA-binding transcriptional dual regulator H-NS // DNA-binding transcriptional repressor GlaR	DNA-binding transcriptional repressor GlaR // CRP-cAMP DNA-binding transcriptional dual regulator // Lrp-Leucine DNA-binding transcriptional dual regulator // DNA-binding transcriptional dual regulator H-NS // DNA-binding transcriptional dual regulator Nac
yphE	b2547	2676850	2678361	yphFED	G7341					
aspU	b0206	228928	229004	aspU	EG30024	aspUp				
mdaB	b3028	3172530	3173111	mdaB	EG12656		SoxS DNA-binding-site regulating mdaB // Rob DNA-binding-site regulating mdaB // MarA DNA-binding-site regulating mdaB	DNA-binding transcriptional dual regulator SoxS // DNA-binding transcriptional dual regulator Rob // DNA-binding transcriptional dual regulator MarA	DNA-binding transcriptional dual regulator SoxS // DNA-binding transcriptional dual regulator Rob // DNA-binding transcriptional dual regulator MarA	DNA-binding transcriptional dual regulator SoxS // DNA-binding transcriptional dual regulator Rob // DNA-binding transcriptional dual regulator MarA
ybdN	b0602	635349	636569	ybdN	G6331	ybdNp	DNA-binding transcriptional dual regulator CysB DNA-binding-site 177.5 bases upstream of ybdNp // Fnr DNA-binding-site 303.5 bases upstream of ybdNp // Fnr DNA-binding-site 26.5 bases upstream of ybdNp // ArcA-Pasp54 DNA-binding-site 64.5 bases downstream of ybdNp	CysB-O-acetyl-L-serine DNA-binding transcriptional dual regulator // DNA-binding transcriptional dual regulator FNR // Phosphorylated DNA-binding transcriptional dual regulator ArcA	RNA polymerase, sigma 70 (sigma D) factor // CysB-O-acetyl-L-serine DNA-binding transcriptional dual regulator // DNA-binding transcriptional dual regulator FNR // Phosphorylated DNA-binding transcriptional dual regulator ArcA	CysB-O-acetyl-L-serine DNA-binding transcriptional dual regulator // DNA-binding transcriptional dual regulator FNR // Phosphorylated DNA-binding transcriptional dual regulator ArcA
glaR	b2664	2795674	2796336	CsiR	EG12386					
yihS	b3880	4070515	4071756	yihUTS // yihUTS // yihUTS // yihUTS // yihUTS	EG11845	yihUp5 // yihUp4 // yihUp3 // yihUp2 // yihUp1	CsqR DNA-binding-site 11 bases upstream of yihUp5 // 	DNA-binding transcriptional dual regulator CsqR // 	RNA polymerase, sigma 70 (sigma D) factor // DNA-binding transcriptional dual regulator CsqR	DNA-binding transcriptional dual regulator CsqR
uspA	b3495	3640111	3640545	uspA // uspA // uspA	EG11390	uspAp3 // uspAp2 // uspAp1	 // IHF DNA-binding-site 54 bases upstream of uspBp // FadR DNA-binding-site 5 bases downstream of uspAp1 // FadR DNA-binding-site 97 bases downstream of uspAp1	 // ppGpp // DNA-binding transcriptional dual regulator IHF // DNA-binding transcriptional dual regulator FadR	RNA polymerase, sigma 70 (sigma D) factor // ppGpp // DNA-binding transcriptional dual regulator IHF // DNA-binding transcriptional dual regulator FadR // DNA-binding transcriptional dual regulator Nac	DNA-binding transcriptional dual regulator IHF // DNA-binding transcriptional dual regulator FadR
alaT	b3853	4037260	4037335	rrsA-ileT-alaT-rrlA-rrfA // rrsA-ileT-alaT-rrlA-rrfA // rrsA-ileT-alaT-rrlA-rrfA	EG30008	rrsAp // rrsAp2 // rrsAp1	Fis DNA-binding-site 133 bases upstream of rrsAp // Fis DNA-binding-site 111 bases upstream of rrsAp // Fis DNA-binding-site 91 bases upstream of rrsAp // Fis DNA-binding-site 71 bases upstream of rrsAp // Lrp-leu DNA-binding-site 53 bases upstream of rrsAp // Lrp-leu DNA-binding-site 73 bases upstream of rrsAp // 	DNA-binding transcriptional dual regulator Fis // ppGpp // RNA polymerase-binding transcription factor DksA // DksA-ppGpp // Lrp-Leucine DNA-binding transcriptional dual regulator // 	RNA polymerase, sigma 70 (sigma D) factor // RNA polymerase, sigma 32 (sigma H) factor // DNA-binding transcriptional dual regulator Fis // DksA-ppGpp // RNA polymerase-binding transcription factor DksA // ppGpp // Lrp-Leucine DNA-binding transcriptional dual regulator	Lrp-Leucine DNA-binding transcriptional dual regulator // DNA-binding transcriptional dual regulator Fis
ybiI	b0803	838190	838456	ybiI	EG12421	ybiIp6			RNA polymerase, sigma S (sigma 38) factor // DNA-binding transcriptional dual regulator Lrp	
guaD	b2883	3025766	3027085	xanQ-guaD-ghxQ	G7502					
mlaF	b3195	3339256	3340065	mlaFEDCB // mlaFEDCB // mlaFEDCB	EG12801	mlaFp3 // mlaFp1 // mlaFp2	 // MarA DNA-binding-site 41.5 bases upstream of mlaFp2	 // DNA-binding transcriptional dual regulator MarA	DNA-binding transcriptional dual regulator MarA	DNA-binding transcriptional dual regulator MarA
valY	b2403	2521173	2521248	valUXY-lysV	EG30114	valUp	Fis DNA-binding-site 114 bases upstream of valUp // Fis DNA-binding-site 93 bases upstream of valUp // Fis DNA-binding-site 73 bases upstream of valUp	DNA-binding transcriptional dual regulator Fis	RNA polymerase, sigma 70 (sigma D) factor // DNA-binding transcriptional dual regulator Fis	DNA-binding transcriptional dual regulator Fis
hybC	b2994	3141286	3142989	hybOABCDEFG	EG11801	hybOp1	ArcA-Pasp54 DNA-binding-site 57 bases upstream of hybOp1 // NarL-Pasp59 DNA-binding-site 51 bases upstream of hybOp1 // NarL-Pasp59 DNA-binding-site 76 bases upstream of hybOp1 // NarL-Pasp59 DNA-binding-site 21 bases downstream of hybOp1	Phosphorylated DNA-binding transcriptional dual regulator ArcA // Phosphorylated DNA-binding transcriptional dual regulator NarL	RNA polymerase, sigma 70 (sigma D) factor // Phosphorylated DNA-binding transcriptional dual regulator ArcA // Phosphorylated DNA-binding transcriptional dual regulator NarL	Phosphorylated DNA-binding transcriptional dual regulator ArcA // Phosphorylated DNA-binding transcriptional dual regulator NarL
yebF	b1847	1930034	1930390	yebF	EG11807			ppGpp	ppGpp // DNA-binding transcriptional dual regulator Lrp	
maeB	b2463	2576098	2578377	maeB	G7293					
fucK	b2803	2937468	2938886	fucPIKUR	EG10350	fucPp	DNA-binding transcriptional activator FucR DNA-binding-site regulating fucPp // CRP-cAMP DNA-binding transcriptional dual regulator DNA-binding-site 40.5 bases upstream of fucPp // CRP-cAMP DNA-binding transcriptional dual regulator DNA-binding-site 80.5 bases upstream of fucPp	FucR-L-fuculose-1-phosphate DNA-binding transcriptional activator // CRP-cAMP DNA-binding transcriptional dual regulator	RNA polymerase, sigma 70 (sigma D) factor // FucR-L-fuculose-1-phosphate DNA-binding transcriptional activator // CRP-cAMP DNA-binding transcriptional dual regulator // small regulatory RNA Spot 42	FucR-L-fuculose-1-phosphate DNA-binding transcriptional activator // CRP-cAMP DNA-binding transcriptional dual regulator
hicB	b1438	1509508	1509924	hicAB // hicAB	G6749	hicAp2 // hicAp1	HicB DNA-binding-site 30.5 bases upstream of hicAp2 // CRP-cAMP DNA-binding transcriptional dual regulator DNA-binding-site 58.5 bases upstream of hicAp1	antitoxin of the HicA-HicB toxin-antitoxin system /  DNA-binding transcriptional repressor HicB // CRP-cAMP DNA-binding transcriptional dual regulator	RNA polymerase, sigma 70 (sigma D) factor // CRP-cAMP DNA-binding transcriptional dual regulator // antitoxin of the HicA-HicB toxin-antitoxin system /  DNA-binding transcriptional repressor HicB	antitoxin of the HicA-HicB toxin-antitoxin system /  DNA-binding transcriptional repressor HicB // CRP-cAMP DNA-binding transcriptional dual regulator
serV	b2695	2818553	2818645	serV-argVYZQ	EG30095	serVp			RNA polymerase, sigma 70 (sigma D) factor	
ygdB	b2824	2962749	2963156	ppdAB-ygdB-ppdC-recC	EG11155	ppdAp	FlhDC DNA-binding-site regulating ppdAp	FlhDC DNA-binding transcriptional dual regulator	RNA polymerase, sigma 28 (sigma F) factor // FlhDC DNA-binding transcriptional dual regulator // DNA-binding transcriptional dual regulator Nac	FlhDC DNA-binding transcriptional dual regulator
yedL	b1932	2010600	2011079	yedL	G7040		Nac DNA-binding-site regulating yedL	DNA-binding transcriptional dual regulator Nac	DNA-binding transcriptional dual regulator Nac	DNA-binding transcriptional dual regulator Nac
alsA	b4087	4309448	4310980	alsBACE // alsRBACE // alsRBACE	EG11959	alsBp // alsRp1 // alsRp2	 // AlsR DNA-binding-site regulating alsRp1 // AlsR DNA-binding-site regulating alsRp2	 // DNA-binding transcriptional repressor AlsR	RNA polymerase, sigma 70 (sigma D) factor // DNA-binding transcriptional repressor AlsR	DNA-binding transcriptional repressor AlsR
lysT	b0743	780554	780629	lysT-valT-lysW	EG30055	lysTp	Fis DNA-binding-site 74 bases upstream of lysTp	DNA-binding transcriptional dual regulator Fis	RNA polymerase, sigma 70 (sigma D) factor // DNA-binding transcriptional dual regulator Fis	DNA-binding transcriptional dual regulator Fis
hyaB	b0973	1033254	1035047	hyaABCDEF // hyaABCDEF	EG10469	hyaAp2 // hyaAp	AppY DNA-binding-site regulating hyaAp2 // ArcA-Pasp54 DNA-binding-site 67 bases upstream of hyaAp2 // IscR DNA-binding-site 42 bases upstream of hyaAp2 // NarP-Pasp59 DNA-binding-site 7 bases downstream of hyaAp2 // NarP-Pasp59 DNA-binding-site 10 bases upstream of hyaAp2 // NarL-Pasp59 DNA-binding-site 7 bases downstream of hyaAp2 // NarL-Pasp59 DNA-binding-site 10 bases upstream of hyaAp2 // Fis DNA-binding-site 21 bases upstream of hyaAp2 // IscR DNA-binding-site 39 bases upstream of hyaAp2 // ArcA-Pasp54 DNA-binding-site 7.5 bases upstream of hyaAp2 // YdeO DNA-binding-site 61 bases upstream of hyaAp2	DLP12 prophage; DNA-binding transcriptional activator AppY // Phosphorylated DNA-binding transcriptional dual regulator ArcA // DNA-binding transcriptional dual regulator YdeO // Phosphorylated DNA-binding transcriptional dual regulator NarP // Phosphorylated DNA-binding transcriptional dual regulator NarL // DNA-binding transcriptional dual regulator Fis // DNA-binding transcriptional dual regulator IscR	RNA polymerase, sigma 70 (sigma D) factor // RNA polymerase, sigma S (sigma 38) factor // DNA-binding transcriptional dual regulator YdeO // Phosphorylated DNA-binding transcriptional dual regulator ArcA // DLP12 prophage; DNA-binding transcriptional activator AppY // DNA-binding transcriptional dual regulator Fis // Phosphorylated DNA-binding transcriptional dual regulator NarL // Phosphorylated DNA-binding transcriptional dual regulator NarP // DNA-binding transcriptional dual regulator IscR	DNA-binding transcriptional dual regulator YdeO // DNA-binding transcriptional dual regulator Fis // Phosphorylated DNA-binding transcriptional dual regulator NarL // Phosphorylated DNA-binding transcriptional dual regulator NarP // DNA-binding transcriptional dual regulator IscR // Phosphorylated DNA-binding transcriptional dual regulator ArcA // DLP12 prophage; DNA-binding transcriptional activator AppY
yhgF	b3407	3537385	3539706	yhgF	G7746					
ytjC	b4395	4633797	4634444	ytjC	EG12164					
frlB	b3371	3501268	3502290	frlABCDR	G7723	frlAp1	FlrR DNA-binding-site 12.5 bases downstream of frlAp1 // CRP-cAMP DNA-binding transcriptional dual regulator DNA-binding-site 40.5 bases upstream of frlAp1	CRP-cAMP DNA-binding transcriptional dual regulator // DNA binding transcriptional repressor FrlR	RNA polymerase, sigma 70 (sigma D) factor // CRP-cAMP DNA-binding transcriptional dual regulator // DNA binding transcriptional repressor FrlR	DNA binding transcriptional repressor FrlR // CRP-cAMP DNA-binding transcriptional dual regulator
rnk	b0610	643557	643967	rnk	G6337					
glyW	b1911	1992042	1992117	glyW-cysT-leuZ	EG30039	glyWp			RNA polymerase, sigma 70 (sigma D) factor	
yfeS	b2420	2537749	2538483	yfeKS	G7261	yfeKp			RNA polymerase sigma E factor // DNA-binding transcriptional dual regulator Nac	
gpmA	b0755	786843	787595	gpmA // gpmA // gpmA // gpmA	EG11699	gpmAp4 // gpmAp3 // gpmAp2 // gpmAp	DNA-binding transcriptional dual regulator Fur DNA-binding-site 3 bases downstream of gpmAp4 // DNA-binding transcriptional dual regulator Fur DNA-binding-site 6 bases downstream of gpmAp4 // 	small regulatory RNA FnrS // Fur-Fe<SUP>2+</SUP> DNA-binding transcriptional dual regulator // 	RNA polymerase, sigma 70 (sigma D) factor // RNA polymerase, sigma S (sigma 38) factor // small regulatory RNA FnrS // Fur-Fe<SUP>2+</SUP> DNA-binding transcriptional dual regulator	Fur-Fe<SUP>2+</SUP> DNA-binding transcriptional dual regulator
